"省市ID","省市名称","从属节点ID"
"2005","北海市",20
"2006","防城港市",20
"2007","钦州市",20
"2008","贵港市",20
"2009","玉林市",20
"2010","百色市",20
"2011","贺州市",20
"2012","河池市",20
"2013","来宾市",20
"2014","崇左市",20

"21","海南省",0
"2101","海口市",21
"2102","三亚市",21
"2103",五指山市,21　　　　　 
"2104",琼海市,21　　　　　　　 
"2105",儋州市,21　　　　　　　 
"2106",文昌市,21 
"2107",万宁市,21　　　　　　　 
"2108",东方市,21 
"2109",澄迈县,21　　 
"2110",定安县,21　　　 
"2111",屯昌县,21　　　 
"2112",临高县,21
"2113",白沙黎族自治县,21　　　　　　　　 
"2114",昌江黎族自治县,21
"2115",乐东黎族自治县,21　　　　　　　　 
"2116",陵水黎族自治县,21 
"2117",保亭黎族苗族自治县,21　　　　　　 
"2118",琼中黎族苗族自治县,21

"22","四川省",0
"2201","成都市",22
"2202","自贡市",22
"2203","攀枝花市",22
"2204","泸州市",22
"2205","德阳市",22
"2206","绵阳市",22
"2207","广元市",22
"2208","遂宁市",22
"2209","内江市",22
"2210","乐山市",22
"2211","南充市",22
"2212","眉山市",22
"2213","宜宾市",22
"2214","广安市",22
"2215","达州市",22
"2216","雅安市",22
"2217","巴中市",22
"2218","资阳市",22
"2219","阿坝藏族羌族自治州",22
"2220","甘孜藏族自治州",22
"2221","凉山彝族自治州",22

"23","重庆市",0
"2301","万州区",23
"2302","涪陵区",23
"2303","渝中区",23
"2304","大渡口区",23
"2305","江北区",23
"2306","沙坪坝区",23
"2307","九龙坡区",23
"2308","南岸区",23
"2309","北碚区",23
"2310","万盛区",23
"2311","双桥区",23
"2312","渝北区",23
"2313","巴南区",23
"2314","黔江区",23
"2315","长寿区",23
"2316","江津区",23
"2317","合川区",23
"2318","永川区",23
"2319","南川区",23
"2320","綦江县",23
"2321","潼南县",23
"2322","铜梁县",23
"2323","大足县",23
"2324","荣昌县",23
"2325","璧山县",23
"2326","梁平县",23
"2327","城口县",23
"2328","丰都县",23
"2329","垫江县",23
"2330","武隆县",23
"2331","忠县",23
"2332","开县",23
"2333","云阳县",23
"2334","奉节县",23
"2335","巫山县",23
"2336","巫溪县",23
"2337","石柱土家族自治县",23
"2338","秀山土家族苗族自治县",23
"2339","酉阳土家族苗族自治县",23
"2340","彭水苗族土家族自治县",23
"2341","北部新区",23
"2342","两江新区",23

"24","贵州省",0
"2401","贵阳市",24
"2402","六盘水市",24
"2403","遵义市",24
"2404","安顺市",24
"2405","铜仁地区",24
"2406","黔西南布依族苗族自治州",24
"2407","毕节地区",24
"2408","黔东南苗族侗族自治州",24
"2409","黔南布依族苗族自治州",24

"25","云南省",0
"2501","昆明市",25
"2502","曲靖市",25
"2503","玉溪市",25
"2504","保山市",25
"2505","昭通市",25
"2506","丽江市",25
"2507","普洱市",25
"2508","临沧市",25
"2509","楚雄彝族自治州",25
"2510","红河哈尼族彝族自治州",25
"2511","文山壮族苗族自治州",25
"2512","西双版纳傣族自治州",25
"2513","大理白族自治州",25
"2514","德宏傣族景颇族自治州",25
"2515","怒江傈僳族自治州",25
"2516","迪庆藏族自治州",25

"26","西藏自治区",0
"2601","拉萨市",26
"2602","昌都地区",26
"2603","山南地区",26
"2604","日喀则地区",26
"2605","那曲地区",26
"2606","阿里地区",26
"2607","林芝地区",26

"27","陕西省",0
"2701","西安市",27
"2702","铜川市",27
"2703","宝鸡市",27
"2704","咸阳市",27
"2705","渭南市",27
"2706","延安市",27
"2707","汉中市",27
"2708","榆林市",27
"2709","安康市",27
"2710","商洛市",27

"28","甘肃省",0
"2801","兰州市",28
"2802","嘉峪关市",28
"2803","金昌市",28
"2804","白银市",28
"2805","天水市",28
"2806","武威市",28
"2807","张掖市",28
"2808","平凉市",28
"2809","酒泉市",28
"2810","庆阳市",28
"2811","定西市",28
"2812","陇南市",28
"2813","临夏回族自治州",28
"2814","甘南藏族自治州",28

"29","青海省",0
"2901","西宁市",29
"2902","海东地区",29
"2903","海北藏族自治州",29
"2904","黄南藏族自治州",29
"2905","海南藏族自治州",29
"2906","果洛藏族自治州",29
"2907","玉树藏族自治州",29
"2908","海西蒙古族藏族自治州",29

"30","宁夏回族自治区",0
"3001","宁夏回族自治区",30
"3002","灵武市",30
"3003","平罗县",30
"3004","青铜峡市",30
"3005","彭阳县",30

"31","新疆维吾尔自治区",0
"3101","乌鲁木齐市",31
"3102","克拉玛依市",31
"3103","吐鲁番地区",31
"3104","哈密地区",31
"3105","昌吉回族自治州",31
"3106","博尔塔拉蒙古自治州",31
"3107","巴音郭楞蒙古自治州",31
"3108","阿克苏地区",31
"3109","克孜勒苏柯尔克孜自治州",31
"3110","喀什地区",31
"3111","和田地区",31
"3112","伊犁哈萨克自治州",31
"3113","塔城地区",31
"3114","阿勒泰地区",31

"32","台湾省",0
"3201","台北市",32
"3202","高雄市",32 　 
"3203","基隆市",32　 
"3204","台中市",32 　 
"3205","台南市",32 　 
"3206","新竹市",32 　 
"3207","嘉义市",32　 
"3208","台北县",32
"3209","宜兰县",32　　 
"3210","新竹县",32　　 
"3211","桃园县",32　 
"3212","苗栗县",32　　　 
"3213","台中县",32 
"3214","彰化县",32　 
"3215","南投县",32　 
"3216","嘉义县",32 
"3217","云林县",32　 
"3218","台南县",32
"3219","高雄县",32
"3220","屏东县",32　 
"3221","台东县",32　 
"3222","花莲县",32　　 
"3223","澎湖县",32

"33","香港特别行政区",0
"3301","中西区",33
"3302","东区",33    
"3303","九龙城区",33  
"3304","观塘区",33  
"3305","南区",33  
"3306","深水埗区",33  
"3307","黄大仙区",33  
"3308","湾仔区",33  
"3309","油尖旺区",33  
"3310","离岛区",33  
"3311","葵青区",33  
"3312","北区",33  
"3313","西贡区",33
"3314","沙田区",33  
"3315","屯门区",33 
"3316","大埔区",33  
"3317","荃湾区",33  
"3318","元朗区",33  

"34","澳门特别行政区",0
"3401","门半岛",34
"3402","凼仔岛",34 
"3403","路环岛",34
